stop_id,stop_code,stop_lat,stop_lon
MAISTAE,2198,40.126678,-82.931892
HIGBLENS,2201,39.951772,-82.998746
HIGSYCS,2202,39.948724,-82.998147
HIGFRANS,2203,39.947241,-82.997858
HIGWHIS,2205,39.944223,-82.997267
HIGSTES,2206,39.942096,-82.996857
HIGGRES,2207,39.93921,-82.9963
4THJENS,2212,39.933129,-82.992823
4THMARS,2213,39.931147,-82.992965
4THWOOS,2214,39.927723,-82.993238
4THREES,2215,39.924943,-82.993457
HIG210S,2218,39.91941,-82.995505
HIGDERS,2221,39.913379,-82.995494
HIGCASS,2223,39.907428,-82.99547
HIGALCS,2224,39.905666,-82.995471
HIGSOUGS,2226,39.901091,-82.995468
HIGRUMS,2227,39.894288,-82.995632
HIGWILS,2228,39.892059,-82.996579
HIG365N,2234,39.886945,-82.998628
HIGWILN1,2235,39.892144,-82.996298
HIGRUMN,2236,39.894545,-82.99532
HIGSOUGN,2237,39.901521,-82.995214
HIGSCHVN,2239,39.903941,-82.995231
HIGALCN,2240,39.905892,-82.995237
HIGCASN,2241,39.907473,-82.99525
HIGDELN,2243,39.910792,-82.99525
HIG205N,2245,39.919658,-82.995279
HOSHIGE,2246,39.922754,-82.994753
4THINNN,2248,39.926067,-82.993243
4THWELN,2249,39.930244,-82.992904
4THSOUN,2250,39.932194,-82.992753
HIGMITN,2254,39.938505,-82.996029
HIGWHIN,2257,39.944217,-82.997042
HIGCOLN,2258,39.946055,-82.997395
HIGSYCN,2259,39.948721,-82.997922
MAIGRANE,2266,39.957245,-82.989172
MAIWASE,2267,39.957588,-82.986156
MAIALLE,2268,39.957971,-82.979578
MAIGILE,2270,39.957845,-82.973671
MAIOHIE,2271,39.957794,-82.970993
MAICHAE,2272,39.957753,-82.969033
MAIKIME,2275,39.957657,-82.96379
MAIMILLE,2276,39.957619,-82.960893
